gpu_mem_total_mb,gpu_mem_used_mb,gpu_temp_c,gpu_utilisation_pct,timestamp
16376,11776,50,0,1777936862.0761828
16376,11776,59,97,1777936867.292938
16376,11776,61,95,1777936872.3498237
16376,11776,62,94,1777936877.4002194
16376,11776,64,96,1777936882.4679885
16376,11804,63,89,1777936887.517157
16376,11804,67,97,1777936892.5593128
16376,11864,65,42,1777936897.6394234
16376,11864,66,72,1777936902.702792
16376,11864,67,97,1777936907.744917
16376,11864,71,92,1777936912.8113754
16376,11864,72,64,1777936917.8578644
16376,11864,73,96,1777936922.9120831
16376,11886,73,96,1777936927.9607944
16376,11886,74,96,1777936933.026526
16376,11893,74,14,1777936938.0728395
16376,11893,74,96,1777936943.1270368
16376,11893,75,97,1777936948.1799593
16376,11893,76,96,1777936953.2324264
16376,11893,75,96,1777936958.2907794
16376,11893,76,96,1777936963.3590946
16376,11893,77,96,1777936968.4166086
16376,11893,77,92,1777936973.4877813
