npc_id,query_index,utterance,submitted_at,received_at,elapsed_ms,ok,error,response_chars
initiate_joren,1,Tell me about yourself.,1777937216.0306606,1777937216.8983843,867.7224999992177,True,,211
initiate_joren,2,What's training like?,1777937216.898418,1777937217.580226,681.8077000207268,True,,177
initiate_joren,3,What do you do at St Damson's?,1777937217.580255,1777937218.253432,673.1767000164837,True,,182
initiate_joren,4,How long have you been here?,1777937218.2534533,1777937218.8766353,623.18170000799,True,,109
initiate_joren,5,Tell me about your village.,1777937218.8766556,1777937219.463754,587.098199990578,True,,123
initiate_joren,6,What weapons do you train with?,1777937219.46378,1777937220.257326,793.5448000207543,True,,210
initiate_joren,7,What's the daily routine?,1777937220.25736,1777937221.0755265,818.1655000080355,True,,249
initiate_joren,8,What do the squires think of you?,1777937221.0755613,1777937221.8750215,799.4596000062302,True,,210
initiate_joren,9,Are you nervous about the spring exam?,1777937221.8750463,1777937222.5033636,628.3162999898195,True,,149
initiate_joren,10,What's the best part of your day?,1777937222.5033884,1777937223.168798,665.4090999509208,True,,186
initiate_joren,11,Tell me about yourself.,1777937223.1688185,1777937223.9271724,758.353499986697,True,,186
initiate_joren,12,What's training like?,1777937223.9271932,1777937224.4853427,558.1490999902599,True,,151
initiate_joren,13,What do you do at St Damson's?,1777937224.4853747,1777937225.0021527,516.7772999848239,True,,120
initiate_joren,14,How long have you been here?,1777937225.0021725,1777937225.5438607,541.6873999638483,True,,121
initiate_joren,15,Tell me about your village.,1777937225.543897,1777937226.1460822,602.18420001911,True,,124
initiate_joren,16,What weapons do you train with?,1777937226.1461143,1777937226.649892,503.7767000030726,True,,123
initiate_joren,17,What's the daily routine?,1777937226.6499248,1777937227.3031523,653.2272000331432,True,,188
initiate_joren,18,What do the squires think of you?,1777937227.3031797,1777937228.0046098,701.4298000140116,True,,194
initiate_joren,19,Are you nervous about the spring exam?,1777937228.0046337,1777937228.5979526,593.3181999716908,True,,130
initiate_joren,20,What's the best part of your day?,1777937228.5979877,1777937229.2903194,692.3311000573449,True,,185
initiate_joren,21,Tell me about yourself.,1777937229.2903407,1777937230.1223724,832.030699995812,True,,239
initiate_joren,22,What's training like?,1777937230.1224084,1777937230.7626224,640.212900005281,True,,149
initiate_joren,23,What do you do at St Damson's?,1777937230.7626479,1777937231.2406888,478.04070002166554,True,,116
initiate_joren,24,How long have you been here?,1777937231.240714,1777937231.863174,622.459499980323,True,,152
initiate_joren,25,Tell me about your village.,1777937231.8631988,1777937232.5786686,715.4693999909796,True,,165
initiate_joren,26,What weapons do you train with?,1777937232.5786898,1777937233.181699,603.008600010071,True,,150
initiate_joren,27,What's the daily routine?,1777937233.181736,1777937233.6723933,490.6567999860272,True,,134
initiate_joren,28,What do the squires think of you?,1777937233.6724133,1777937234.4160285,743.6144000384957,True,,182
initiate_joren,29,Are you nervous about the spring exam?,1777937234.4160566,1777937234.946564,530.5064999847673,True,,128
initiate_joren,30,What's the best part of your day?,1777937234.9465854,1777937235.5522776,605.6917000096291,True,,149
initiate_joren,31,Tell me about yourself.,1777937235.5523007,1777937236.262673,710.3713999968022,True,,177
initiate_joren,32,What's training like?,1777937236.262705,1777937236.9629166,700.2105999854393,True,,182
initiate_joren,33,What do you do at St Damson's?,1777937236.9630082,1777937237.5567544,593.7449000193737,True,,141
initiate_joren,34,How long have you been here?,1777937237.556785,1777937238.2416496,684.8640000098385,True,,171
initiate_joren,35,Tell me about your village.,1777937238.2416792,1777937238.790501,548.821400036104,True,,115
initiate_joren,36,What weapons do you train with?,1777937238.7905328,1777937239.3556843,565.151099988725,True,,139
initiate_joren,37,What's the daily routine?,1777937239.3557045,1777937239.9647381,609.0326000121422,True,,153
initiate_joren,38,What do the squires think of you?,1777937239.9647698,1777937240.534591,569.8201999766752,True,,141
initiate_joren,39,Are you nervous about the spring exam?,1777937240.5346467,1777937241.0874894,552.8415000298992,True,,111
initiate_joren,40,What's the best part of your day?,1777937241.087521,1777937241.7704995,682.9770999611355,True,,181
initiate_joren,41,Tell me about yourself.,1777937241.7705603,1777937242.5661151,795.5536000081338,True,,190
initiate_joren,42,What's training like?,1777937242.5661483,1777937243.1948636,628.7142999935895,True,,170
initiate_joren,43,What do you do at St Damson's?,1777937243.1948903,1777937243.9058268,710.9349999809638,True,,204
initiate_joren,44,How long have you been here?,1777937243.9058566,1777937244.4724731,566.6158000240102,True,,113
initiate_joren,45,Tell me about your village.,1777937244.4725065,1777937245.0519533,579.4460000470281,True,,121
initiate_joren,46,What weapons do you train with?,1777937245.0519743,1777937245.673476,621.500700013712,True,,156
initiate_joren,47,What's the daily routine?,1777937245.6735086,1777937246.5677032,894.1935999901034,True,,256
initiate_joren,48,What do the squires think of you?,1777937246.5677342,1777937247.2696915,701.9567000097595,True,,177
initiate_joren,49,Are you nervous about the spring exam?,1777937247.2697144,1777937247.9551625,685.4476999724284,True,,174
initiate_joren,50,What's the best part of your day?,1777937247.955185,1777937248.621435,666.2492000032216,True,,170
initiate_joren,51,Tell me about yourself.,1777937248.6216123,1777937249.5775044,955.8907999889925,True,,259
initiate_joren,52,What's training like?,1777937249.5775406,1777937250.2145886,637.0476000010967,True,,154
initiate_joren,53,What do you do at St Damson's?,1777937250.2146118,1777937250.7853801,570.7678000326268,True,,136
